policy_id,region_id,policy_type,incentive_amount,start_date,end_date,ev_target_pct,priority_status,policy_description,policy_strength_score
P00001,RG0001,Purchase Subsidy,24842,2020-04-08,2024-12-18,50,High,"Purchase Subsidy for EV uptake in Andhra Pradesh: incentive up to INR 24,842, target EV share 50%, active 2020-04-08 to 2024-12-18.",77.8
P00002,RG0001,Manufacturing Incentive,2725080,2021-07-15,2026-12-25,65,High,"Manufacturing Incentive for EV uptake in Andhra Pradesh: incentive up to INR 2,725,080, target EV share 65%, active 2021-07-15 to 2026-12-25.",100.0
P00003,RG0001,Manufacturing Incentive,2725080,2022-10-22,2025-12-28,65,High,"Manufacturing Incentive for EV uptake in Andhra Pradesh: incentive up to INR 2,725,080, target EV share 65%, active 2022-10-22 to 2025-12-28.",100.0
P00004,RG0002,Registration Waiver,6242,2023-01-02,2027-09-12,23,Medium,"Registration Waiver for EV uptake in Arunachal Pradesh: incentive up to INR 6,242, target EV share 23%, active 2023-01-02 to 2027-09-12.",46.5
P00005,RG0003,Registration Waiver,6165,2024-04-09,2029-12-19,25,Medium,"Registration Waiver for EV uptake in Assam: incentive up to INR 6,165, target EV share 25%, active 2024-04-09 to 2029-12-19.",48.6
P00006,RG0004,Registration Waiver,6199,2025-07-16,2028-12-26,23,Medium,"Registration Waiver for EV uptake in Bihar: incentive up to INR 6,199, target EV share 23%, active 2025-07-16 to 2028-12-26.",42.7
P00007,RG0005,Registration Waiver,6872,2019-10-23,2023-12-28,26,Medium,"Registration Waiver for EV uptake in Chhattisgarh: incentive up to INR 6,872, target EV share 26%, active 2019-10-23 to 2023-12-28.",47.1
P00008,RG0006,Purchase Subsidy,23534,2020-01-03,2025-09-13,48,High,"Purchase Subsidy for EV uptake in Goa: incentive up to INR 23,534, target EV share 48%, active 2020-01-03 to 2025-09-13.",77.1
P00009,RG0006,Charging Infrastructure Grant,906554,2021-04-10,2024-12-20,57,High,"Charging Infrastructure Grant for EV uptake in Goa: incentive up to INR 906,554, target EV share 57%, active 2021-04-10 to 2024-12-20.",94.4
P00010,RG0007,Charging Infrastructure Grant,1051255,2022-07-17,2026-12-27,64,High,"Charging Infrastructure Grant for EV uptake in Gujarat: incentive up to INR 1,051,255, target EV share 64%, active 2022-07-17 to 2026-12-27.",99.6
P00011,RG0007,Manufacturing Incentive,3201478,2023-10-24,2028-12-28,70,High,"Manufacturing Incentive for EV uptake in Gujarat: incentive up to INR 3,201,478, target EV share 70%, active 2023-10-24 to 2028-12-28.",100.0
P00012,RG0007,Purchase Subsidy,28765,2024-01-04,2027-09-14,55,High,"Purchase Subsidy for EV uptake in Gujarat: incentive up to INR 28,765, target EV share 55%, active 2024-01-04 to 2027-09-14.",74.8
P00013,RG0008,Purchase Subsidy,24923,2025-04-11,2029-12-21,51,High,"Purchase Subsidy for EV uptake in Haryana: incentive up to INR 24,923, target EV share 51%, active 2025-04-11 to 2029-12-21.",77.8
P00014,RG0008,Manufacturing Incentive,2913105,2019-07-18,2024-12-28,66,High,"Manufacturing Incentive for EV uptake in Haryana: incentive up to INR 2,913,105, target EV share 66%, active 2019-07-18 to 2024-12-28.",100.0
P00015,RG0008,Purchase Subsidy,24923,2020-10-25,2023-12-28,51,High,"Purchase Subsidy for EV uptake in Haryana: incentive up to INR 24,923, target EV share 51%, active 2020-10-25 to 2023-12-28.",73.2
P00016,RG0009,Registration Waiver,6170,2021-01-05,2025-09-15,25,Medium,"Registration Waiver for EV uptake in Himachal Pradesh: incentive up to INR 6,170, target EV share 25%, active 2021-01-05 to 2025-09-15.",47.9
P00017,RG0010,Registration Waiver,6342,2022-04-12,2027-12-22,24,Medium,"Registration Waiver for EV uptake in Jharkhand: incentive up to INR 6,342, target EV share 24%, active 2022-04-12 to 2027-12-22.",47.9
P00018,RG0011,Charging Infrastructure Grant,1058745,2023-07-19,2026-12-28,66,High,"Charging Infrastructure Grant for EV uptake in Karnataka: incentive up to INR 1,058,745, target EV share 66%, active 2023-07-19 to 2026-12-28.",96.7
P00019,RG0011,Manufacturing Incentive,3218364,2024-10-26,2028-12-28,71,High,"Manufacturing Incentive for EV uptake in Karnataka: incentive up to INR 3,218,364, target EV share 71%, active 2024-10-26 to 2028-12-28.",100.0
